開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註
0515,00UE001,師培學院,A,,,,,,教育概論（教）,Introduction to Education,2.0,選,半,葉坤靈,二 6-7 和平 樸401,50,56,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0516,00UE001,師培學院,B,,,,,,教育概論（教）,Introduction to Education,2.0,選,半,葉坤靈,二 8-9 和平 樸401,50,41,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0517,00UE001,師培學院,C,,,,,,教育概論（教）,Introduction to Education,2.0,選,半,劉蔚之,五 3-4 和平 教310,50,50,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0518,00UE002,師培學院,A,,,,,,教育心理學（教）,Educational Psychology,2.0,選,半,王孜,一 3-4 和平 樸401,50,60,◎限 一階生 二階生 教育學程生 幼教師資生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0519,00UE002,師培學院,B,,,,,,教育心理學（教）,Educational Psychology,2.0,選,半,王孜,一 6-7 和平 樸401,50,56,◎限 一階生 二階生 教育學程生 幼教師資生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0520,00UE002,師培學院,C,,,,,,教育心理學（教）,Educational Psychology,2.0,選,半,王孜,一 8-9 和平 樸401,50,50,◎限 一階生 二階生 教育學程生 幼教師資生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0521,00UE002,師培學院,D,,,,,,教育心理學（教）,Educational Psychology,2.0,選,半,張文哲,四 9-10 和平 教513,50,55,◎限 一階生 二階生 教育學程生 幼教師資生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0522,00UE002,師培學院,E,,,,,,教育心理學（教）,Educational Psychology,2.0,選,半,張文哲,五 9-10 和平 教513,50,54,◎限 一階生 二階生 教育學程生 幼教師資生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0523,00UE002,師培學院,F,,,,,,教育心理學（教）,Educational Psychology,2.0,選,半,蘇宜芬,三 6-7 和平 教511,50,51,◎限 一階生 二階生 教育學程生 幼教師資生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0524,00UE003,師培學院,A,,,,,,教育哲學（教）,Philosophy of Education,2.0,選,半,洪仁進,一 6-7 和平 教312,50,45,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0525,00UE003,師培學院,B,,,,,,教育哲學（教）,Philosophy of Education,2.0,選,半,陳伊琳,二 3-4 和平 樸401,50,55,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0526,00UE003,師培學院,C,,,,,,教育哲學（教）,Philosophy of Education,2.0,選,半,林秀珍,二 6-7 和平 樸202,50,26,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0527,00UE003,師培學院,D,,,,,,教育哲學（教）,Philosophy of Education,2.0,選,半,葉坤靈,三 8-9 和平 樸301,50,57,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0528,00UE004,師培學院,A,,,,,,教育社會學（教）,Sociology of Education,2.0,選,半,陳婉琦,三 A-B 和平 教103,50,56,◎限 一階生 二階生 教育學程生 幼教師資生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0529,00UE004,師培學院,B,,,,,,教育社會學（教）,Sociology of Education,2.0,選,半,陳婉琦,五 A-B 和平 誠207,50,49,◎限 一階生 二階生 教育學程生 幼教師資生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0530,00UE004,師培學院,C,,,,,,教育社會學（教）,Sociology of Education,2.0,選,半,鄭英傑,二 6-7 和平 教315,50,53,◎限 一階生 二階生 教育學程生 幼教師資生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0531,00UE005,師培學院,A,,,,,,教學原理（教）,Principles of Instruction,2.0,選,半,藍淑珠,一 B-C 和平 誠307,50,54,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,
0532,00UE005,師培學院,B,,,,,,教學原理（教）,Principles of Instruction,2.0,選,半,王力億,四 3-4 和平 正102,45,30,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,
3250,00UE005,師培學院,C,,,,,,教學原理（教）,Principles of Instruction,2.0,選,半,吳柏菱,二 8-9 和平 樸204,50,25,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,
3251,00UE005,師培學院,D,,,,,,教學原理（教）,Principles of Instruction,2.0,選,半,吳柏菱,四 3-4 和平 誠106,45,44,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,
3255,00UE005,師培學院,E,,,,,,教學原理（教）,Principles of Instruction,2.0,選,半,吳柏菱,四 8-9 和平 正203,50,50,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,
0535,00UE006,師培學院,A,,,,,,班級經營（教）,Classroom Management,2.0,選,半,張民杰,四 6-7 和平 樸301,50,64,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,
0536,00UE006,師培學院,B,,,,,,班級經營（教）,Classroom Management,2.0,選,半,張哲榕,一 9-10 和平 誠207,50,60,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,
0537,00UE006,師培學院,C,,,,,,班級經營（教）,Classroom Management,2.0,選,半,張哲榕,一 A-B 和平 誠207,50,60,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,
0538,00UE006,師培學院,D,,,,,,班級經營（教）,Classroom Management,2.0,選,半,楊傳蓮,一 6-7 公館 Ｓ502,50,51,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,
0539,00UE006,師培學院,E,,,,,,班級經營（教）,Classroom Management,2.0,選,半,廖純英,一 6-7 和平 誠205,50,54,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,
0540,00UE006,師培學院,F,,,,,,班級經營（教）,Classroom Management,2.0,選,半,廖純英,一 8-9 和平 誠205,50,57,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 可修,
